RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.178024,-0.177798,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177948,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0
-0.178024,-0.177803,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178028,-0.177798,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178108,-0.177803,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178024,-0.177818,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178001,-0.177798,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178108,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178028,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178108,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178104,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178081,-0.177847,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178081,-0.177852,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178085,-0.177867,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178028,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178001,-0.177933,0,-0.0185728,0,0.0557185,0,0.13001,0,0.13001,0,0.0185728,0,0
-0.178001,-0.177879,0,-0.0185728,0,0.0557185,0,0.13001,0,0.13001,0,0.0185728,0,0.0185728
-0.178024,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178108,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178108,-0.177953,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0,0,0
-0.178104,-0.177948,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178044,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177798,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178028,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178108,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178081,-0.177798,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178106,-0.177852,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178104,-0.177872,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.1779,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0.0185728,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178001,-0.177847,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178134,-0.177847,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177928,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0.0185728,0,0.0185728
-0.178104,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178049,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177798,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178085,-0.177933,0,-0.0185728,0,0.0557185,0,0.111437,0,0.13001,0,0,0,0
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178028,-0.177872,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178001,-0.177847,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177928,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178028,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177872,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177803,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178129,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177948,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0.0185728,0,0.0185728
-0.178104,-0.177798,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178022,-0.177798,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177928,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0.0185728
-0.178024,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178028,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178108,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177798,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178081,-0.177847,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177872,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178108,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178028,-0.177798,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178028,-0.177803,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178108,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178024,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177953,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0
-0.178081,-0.177798,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177928,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0.0185728
-0.178024,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177928,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0.0185728
-0.178028,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178081,-0.177933,0,-0.0185728,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0.0185728
-0.178005,-0.177847,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178022,-0.177867,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177928,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0.0185728
-0.178104,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178125,-0.177872,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178081,-0.177847,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178085,-0.177798,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178044,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177884,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0.0185728,0,0
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177928,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0.0185728
-0.178024,-0.177933,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0
-0.178028,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177928,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0.0185728
-0.178028,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177933,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0
-0.178108,-0.177879,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0,0,0.0185728
-0.178081,-0.177847,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178005,-0.177928,0,-0.0185728,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0.0185728
-0.178106,-0.177852,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178028,-0.177803,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178108,-0.177872,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178108,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178104,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178085,-0.177847,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177948,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0.0185728,0,0.0185728
-0.178081,-0.177818,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178001,-0.177852,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178049,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178024,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178005,-0.177933,0,-0.0185728,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178005,-0.177872,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178049,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178028,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177933,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177867,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177818,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177948,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0.0185728,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178104,-0.177803,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178104,-0.177872,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178104,-0.177852,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177798,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177928,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0.0185728
-0.178001,-0.177847,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178001,-0.177847,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178028,-0.177867,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178005,-0.177798,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178005,-0.177867,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178129,-0.177872,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0
-0.178108,-0.177928,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0,0,0.0185728
-0.178028,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178001,-0.177928,0,-0.0185728,0,0.0557185,0,0.13001,0,0.13001,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178001,-0.177852,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178028,-0.177872,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178081,-0.177798,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177847,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0.0185728
-0.178028,-0.177928,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0.0185728
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178024,-0.177798,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178085,-0.177847,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178001,-0.177852,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178085,-0.177798,0,-0.0185728,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178024,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0
-0.178024,-0.177948,0,-0.0371457,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0.0185728
-0.178005,-0.177847,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
-0.178104,-0.177798,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178108,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0,0,0.0185728
-0.178028,-0.177852,0,-0.0371457,0,0.0557185,0,0.13001,0,0.148583,0,0,0,0
-0.178104,-0.177847,0,-0.0371457,0,0.0557185,0,0.111437,0,0.148583,0,0.0185728,0,0.0185728
-0.178005,-0.177928,0,-0.0185728,0,0.0557185,0,0.13001,0,0.13001,0,0,0,0.0185728
-0.178104,-0.177928,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0.0185728,0,0.0185728
-0.178104,-0.177928,0,-0.0371457,0,0.0557185,0,0.111437,0,0.13001,0,0,0,0.0185728
-0.178001,-0.177867,0,-0.0185728,0,0.0557185,0,0.13001,0,0.148583,0,0.0185728,0,0.0185728
