RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.177129,-0.177042,0,-0.0742913,0,-0.13001,0,0.204301,0,0.222874,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177042,0,-0.0742913,0,-0.13001,0,0.204301,0,0.222874,0,-0.0742913,0,-0.0185728
-0.177132,-0.177064,0,-0.0742913,0,-0.111437,0,0.204301,0,0.222874,0,-0.0928641,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177129,-0.177042,0,-0.0742913,0,-0.13001,0,0.204301,0,0.222874,0,-0.0742913,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176984,0,-0.0742913,0,-0.111437,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177042,0,-0.0742913,0,-0.13001,0,0.204301,0,0.222874,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177083,-0.176939,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177129,-0.176984,0,-0.0742913,0,-0.111437,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177083,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176987,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176984,0,-0.0742913,0,-0.111437,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177155,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176939,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177129,-0.176939,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176939,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176987,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176987,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176984,0,-0.0742913,0,-0.111437,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176966,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0371457
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176987,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.17696,0,-0.0742913,0,-0.111437,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176984,0,-0.0742913,0,-0.111437,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177129,-0.177042,0,-0.0742913,0,-0.13001,0,0.204301,0,0.222874,0,-0.0742913,0,-0.0185728
-0.177155,-0.177032,0,-0.0742913,0,-0.111437,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176987,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176987,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177211,-0.176962,0,-0.0742913,0,-0.13001,0,0.185728,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.177042,0,-0.0742913,0,-0.13001,0,0.204301,0,0.222874,0,-0.0928641,0,-0.0185728
-0.177132,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176939,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.176939,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176987,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177132,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177129,-0.176984,0,-0.0742913,0,-0.111437,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177109,-0.177011,0,-0.0928641,0,-0.13001,0,0.204301,0,0.241447,0,-0.0928641,0,-0.0185728
-0.177129,-0.176962,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
-0.177132,-0.177091,0,-0.0742913,0,-0.13001,0,0.204301,0,0.222874,0,-0.0928641,0,-0.0185728
-0.177129,-0.177091,0,-0.0742913,0,-0.13001,0,0.204301,0,0.222874,0,-0.0742913,0,-0.0185728
-0.177129,-0.177011,0,-0.0742913,0,-0.13001,0,0.204301,0,0.241447,0,-0.0742913,0,-0.0185728
