RIGHT_FOOT_DISPLACEMENT,LEFT_FOOT_DISPLACEMENT,R_HIP_PITCH_PRESENT_VELOCITY,R_HIP_PITCH_LOAD,L_HIP_PITCH_PRESENT_VELOCITY,L_HIP_PITCH_LOAD,R_KNEE_PRESENT_VELOCITY,R_KNEE_LOAD,L_KNEE_PRESENT_VELOCITY,L_KNEE_LOAD,R_ANKLE_PITCH_PRESENT_VELOCITY,R_ANKLE_PITCH_LOAD,L_ANKLE_PITCH_PRESENT_VELOCITY,L_ANKLE_PITCH_LOAD
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176517,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176543,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.1764,-0.176513,0,-0.0928641,0,-0.0928641,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.176513,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176401,-0.176517,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176491,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176495,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.1764,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.17652,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176345,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176539,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176401,-0.17652,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0557185
-0.176345,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17652,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0557185
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176517,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.176401,-0.176491,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176401,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176401,-0.176517,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176513,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176401,-0.176491,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176322,-0.17652,0,-0.0928641,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0557185
-0.1764,-0.17654,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176401,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.185728,0,-0.0371457
-0.176322,-0.17649,0,-0.0928641,0,-0.0928641,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17652,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176344,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.176471,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0557185
-0.176344,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0557185
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176517,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.1764,-0.176491,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176562,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.1764,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176517,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,-0.143807,-0.224829,0,-0.0371457
-0.176401,-0.176517,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176491,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176517,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176322,-0.17652,0,-0.0928641,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0557185
-0.176345,-0.176493,0,-0.0742913,0,-0.0928641,0,0.278592,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176401,-0.176562,0,-0.0928641,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176322,-0.176491,0,-0.0928641,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176495,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0557185
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176401,-0.176517,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176401,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176517,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176517,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176345,-0.17649,0,-0.0742913,0,-0.0928641,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176471,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0557185
-0.176345,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176495,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0.0958713,-0.134897,0,-0.0371457
-0.1764,-0.176491,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176562,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176401,-0.176491,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176543,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.1764,-0.17654,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176345,-0.176471,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.176513,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176345,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176491,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.185728,0,-0.0371457
-0.176401,-0.17649,0,-0.0928641,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176517,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176401,-0.176517,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176322,-0.176543,0,-0.0928641,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176495,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.1764,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0.0958713,-0.134897,0,-0.0371457
-0.176401,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176323,-0.176517,0,-0.0928641,0,-0.111437,0,0.278592,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176517,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176491,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176495,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176401,-0.17654,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,-0.0958713,-0.199413,0,-0.0371457
-0.176322,-0.176517,0,-0.0928641,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0557185
-0.176322,-0.176491,0,-0.0928641,0,-0.111437,0,0.278592,0,0.26002,0.0958713,-0.134897,0,-0.0371457
-0.176344,-0.176562,0,-0.0742913,0,-0.0928641,0,0.278592,0,0.26002,0,-0.148583,0,-0.0371457
-0.176345,-0.176491,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176491,0,-0.0742913,0,-0.0928641,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176513,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176495,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.176513,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.176491,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176401,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176471,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.17654,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176539,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176322,-0.176491,0,-0.0928641,0,-0.111437,0,0.278592,0,0.26002,0,-0.148583,0,-0.0371457
-0.176401,-0.176491,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176517,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176345,-0.17652,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.167155,0,-0.0557185
-0.176423,-0.176471,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0557185
-0.176401,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176401,-0.176468,0,-0.0928641,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176468,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176344,-0.176468,0,-0.0742913,0,-0.111437,0,0.278592,0,0.26002,0,-0.148583,0,-0.0371457
-0.176423,-0.17649,0,-0.0742913,0,-0.0928641,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176491,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.167155,0,-0.0371457
-0.176423,-0.176543,0,-0.0742913,0,-0.111437,0,0.26002,0,0.26002,0,-0.185728,0,-0.0557185
